iter	Logloss
0	0.5244094827
1	0.4271411599
2	0.3646845604
3	0.3269457519
4	0.2950538473
5	0.2786029081
6	0.2557592266
7	0.2418235147
8	0.2342940255
9	0.2260351414
10	0.2210692115
11	0.212725139
12	0.2092040128
13	0.2046618082
14	0.2019161197
15	0.1995657577
16	0.1966522641
17	0.1936770851
18	0.1912280799
19	0.1896684005
20	0.1873003213
21	0.1859386455
22	0.1845315402
23	0.1819520751
24	0.1806936408
25	0.1790962625
26	0.1773411031
27	0.1760740687
28	0.1743354414
29	0.1730298748
30	0.1721921534
31	0.1714718849
32	0.1706088062
33	0.1692732143
34	0.1684766945
35	0.1675813394
36	0.166538382
37	0.165944983
38	0.1652278441
39	0.1645406196
40	0.1634592653
41	0.1629571985
42	0.1623390414
43	0.1618695819
44	0.1613403321
45	0.1604845069
46	0.1596085365
47	0.1591379369
48	0.1585528401
49	0.1580081064
50	0.1572937458
51	0.1567547058
52	0.1562080241
53	0.1556720347
54	0.1549730639
55	0.154572215
56	0.1542054165
57	0.1536878573
58	0.1533040646
59	0.1529685667
60	0.1525465773
61	0.1520871414
62	0.1516422084
63	0.151230844
64	0.1508719269
65	0.1503543908
66	0.149927088
67	0.1496380087
68	0.1492051026
69	0.1489107536
70	0.1485117929
71	0.1480839178
72	0.1478114248
73	0.1474135531
74	0.1468745731
75	0.1465930075
76	0.1462231434
77	0.1458248387
78	0.1455722111
79	0.1453342363
80	0.145077065
81	0.1447407998
82	0.1443960489
83	0.1441694159
84	0.1439597366
85	0.143625678
86	0.1433446491
87	0.1431140135
88	0.1429297197
89	0.1425972953
90	0.1421997133
91	0.1419610843
92	0.141761062
93	0.1412289202
94	0.1410396415
95	0.1408355172
96	0.1406963091
97	0.1404369492
98	0.1401044461
99	0.1398182031
100	0.1394936223
101	0.1392143317
102	0.1388729044
103	0.1387140056
104	0.1384871697
105	0.1381322558
106	0.1378307355
107	0.1375883914
108	0.1373023296
109	0.1370670272
110	0.1368931889
111	0.1366820328
112	0.1364561764
113	0.1361834377
114	0.1359889775
115	0.1358576502
116	0.1356107945
117	0.1354158704
118	0.1351188997
119	0.1349760334
120	0.1348480231
121	0.1346995464
122	0.1345192752
123	0.134426457
124	0.1342423732
125	0.1340915657
126	0.1339404575
127	0.1338271356
128	0.1336638243
129	0.1334205918
130	0.1331922509
131	0.1330468588
132	0.1328911749
133	0.1327711868
134	0.1325800258
135	0.13223812
136	0.1320626183
137	0.1318929645
138	0.1317556573
139	0.1315702743
140	0.1314336498
141	0.1313072931
142	0.1311045587
143	0.130953472
144	0.1308006056
145	0.1306291766
146	0.1304817461
147	0.1303379043
148	0.1302172541
149	0.1300295327
150	0.129937644
151	0.1298353473
152	0.1296876765
153	0.1295295463
154	0.1293980421
155	0.1292788718
156	0.1289690741
157	0.1288574826
158	0.1287735443
159	0.1286056366
160	0.1285249039
161	0.1283987287
162	0.12827819
163	0.1281479875
164	0.1280587372
165	0.1279769139
166	0.1277702338
167	0.127678867
168	0.1275896227
169	0.1273706107
170	0.1272332194
171	0.1270937728
172	0.1269266662
173	0.1268104264
174	0.1266952548
175	0.1265269393
176	0.1264055699
177	0.1262540987
178	0.1261732648
179	0.1260932147
180	0.1259705834
181	0.1257928276
182	0.125691579
183	0.1256247753
184	0.1255374975
185	0.1254424411
186	0.1253086731
187	0.1251455046
188	0.1250435914
189	0.1249456998
190	0.1247802352
191	0.1246694282
192	0.1245599958
193	0.124440709
194	0.1243495757
195	0.1242989907
196	0.1242033616
197	0.1241439414
198	0.124049251
199	0.1239344315
200	0.1238125578
201	0.1237063556
202	0.1235349642
203	0.1234475525
204	0.1233241188
205	0.1230872101
206	0.1229861679
207	0.1228842995
208	0.1228059574
209	0.1227257754
210	0.1225509241
211	0.1223835219
212	0.122310176
213	0.1221883203
214	0.122097481
215	0.1220513816
216	0.1219414047
217	0.1218378833
218	0.12173095
219	0.1215758067
220	0.1214922874
221	0.1213164636
222	0.121221522
223	0.1210703881
224	0.120996325
225	0.1208932218
226	0.1207970624
227	0.1207572857
228	0.1206725596
229	0.1206043866
230	0.120524889
231	0.1204156924
232	0.120325679
233	0.1202288526
234	0.1201461418
235	0.1200553872
236	0.1199804682
237	0.1199049907
238	0.1198261893
239	0.1197389135
240	0.1196527298
241	0.1195680541
242	0.1194729138
243	0.1193738182
244	0.1192575459
245	0.1191860164
246	0.1190954773
247	0.1190008293
248	0.1189562354
249	0.1188203024
250	0.1187482162
251	0.1186790227
252	0.1186158039
253	0.1185249507
254	0.1183894592
255	0.1182607834
256	0.1181702334
257	0.1181053357
258	0.1180491593
259	0.1179675366
260	0.1178607857
261	0.1177661188
262	0.117668358
263	0.1175766588
264	0.1174941787
265	0.1173835463
266	0.1173160813
267	0.1172226368
268	0.1171552033
269	0.1171058012
270	0.1170545755
271	0.1169538705
272	0.1168774061
273	0.116737087
274	0.1167021376
275	0.1166114841
276	0.1165114376
277	0.1164154286
278	0.1163607779
279	0.1162700446
280	0.1161426894
281	0.1160834402
282	0.1160211013
283	0.1159072444
284	0.1158178984
285	0.1157905789
286	0.1157297528
287	0.1156861143
288	0.1156068849
289	0.1155543995
290	0.1154839875
291	0.1153718266
292	0.1152487081
293	0.1151675556
294	0.1151189924
295	0.1150219083
296	0.1149371329
297	0.114817555
298	0.1147144148
299	0.114666311
300	0.1145713663
301	0.1144960034
302	0.1144107877
303	0.1143425421
304	0.1142652756
305	0.114163517
306	0.1140855694
307	0.1139991437
308	0.1139686433
309	0.1139141709
310	0.1138301164
311	0.1137673697
312	0.1137000633
313	0.1135544756
314	0.1134747938
315	0.1134189225
316	0.1133122405
317	0.113244985
318	0.1131427562
319	0.1130774073
320	0.1130182476
321	0.1129505421
322	0.1128995561
323	0.1128316242
324	0.1127383366
325	0.1126298569
326	0.1125658162
327	0.112497315
328	0.1123954252
329	0.1123233408
330	0.1122616386
331	0.1122105436
332	0.1121184475
333	0.1120592435
334	0.1119848801
335	0.1119179744
336	0.1118512474
337	0.111757866
338	0.111651581
339	0.1115545087
340	0.1114666398
341	0.1113864082
342	0.1113497358
343	0.1113182899
344	0.1112957654
345	0.1112211382
346	0.1111106278
347	0.1110154905
348	0.1109585843
349	0.1109065766
350	0.1108420035
351	0.1107331231
352	0.1106811579
353	0.1105872247
354	0.1105375721
355	0.1104849514
356	0.1104261623
357	0.1103582482
358	0.1103437212
359	0.1102716283
360	0.1102048499
361	0.1101565249
362	0.1101109738
363	0.1100639942
364	0.1100140783
365	0.1099057966
366	0.1098265726
367	0.1097835685
368	0.1096731863
369	0.1096137602
370	0.1095465159
371	0.1094931263
372	0.10946947
373	0.1094069448
374	0.1093513657
375	0.1092558429
376	0.1091369608
377	0.1090920569
378	0.1090560524
379	0.1089987753
380	0.1088856208
381	0.1087836121
382	0.1087476412
383	0.1086914025
384	0.1086241966
385	0.1084897877
386	0.1084156451
387	0.1083185927
388	0.1082553303
389	0.1081945569
390	0.1081094087
391	0.1080224427
392	0.107971988
393	0.1079350242
394	0.1078780147
395	0.1078074399
396	0.1077544158
397	0.1077238513
398	0.1076572835
399	0.1076367969
400	0.1075391495
401	0.1074982948
402	0.107418744
403	0.1073467068
404	0.10731316
405	0.1072206592
406	0.1071351764
407	0.1070341904
408	0.1070031721
409	0.1069601812
410	0.1069012178
411	0.1068697658
412	0.106782985
413	0.1067162449
414	0.106656395
415	0.1066116507
416	0.1065576991
417	0.1064698791
418	0.1064289955
419	0.1063510114
420	0.1062820838
421	0.1062315613
422	0.1061803156
423	0.106072091
424	0.1060336215
425	0.105949213
426	0.1059284238
427	0.1058778753
428	0.1058422823
429	0.1058131614
430	0.1057785438
431	0.1057257154
432	0.1056153979
433	0.1055594806
434	0.1055117311
435	0.1054808901
436	0.105429925
437	0.1053734193
438	0.1053162715
439	0.105211532
440	0.1051425239
441	0.1051038395
442	0.1050582003
443	0.1049731813
444	0.1049146002
445	0.1048364355
446	0.1047970759
447	0.10474982
448	0.1047146135
449	0.1046577715
450	0.1046268495
451	0.1045442098
452	0.1045010839
453	0.1044468175
454	0.1043678214
455	0.1043233161
456	0.104288141
457	0.1042322176
458	0.1041579184
459	0.104098735
460	0.1040304917
461	0.1039859308
462	0.1039449673
463	0.103871383
464	0.1037997676
465	0.1037576259
466	0.1036928746
467	0.1036307362
468	0.1035702638
469	0.1035388048
470	0.1034857141
471	0.1034496192
472	0.1033960468
473	0.1033634441
474	0.1033070493
475	0.1032869647
476	0.1031841474
477	0.1031347616
478	0.1030755274
479	0.1030400612
480	0.1029859839
481	0.102882833
482	0.1028574479
483	0.1027710357
484	0.1026937237
485	0.1026090432
486	0.1025767271
487	0.1025554259
488	0.1025098428
489	0.102457961
490	0.1024074585
491	0.102307311
492	0.1022103785
493	0.1021640113
494	0.1020966784
495	0.1020505099
496	0.1019987582
497	0.1019443769
498	0.1018980889
499	0.1018446221
500	0.1018155898
501	0.1017342173
502	0.1016739963
503	0.1015915185
504	0.1015180014
505	0.1014609282
506	0.1014321464
507	0.1013698787
508	0.1013058569
509	0.1012549834
510	0.1011929873
511	0.1011600818
512	0.101116336
513	0.1010547899
514	0.1010298096
515	0.1009775747
516	0.1009430218
517	0.1009082445
518	0.1008756835
519	0.1008198037
520	0.1007438302
521	0.1006663747
522	0.1005885722
523	0.1005618745
524	0.1004884566
525	0.1004550317
526	0.1004003484
527	0.1003222973
528	0.1002462078
529	0.1002306356
530	0.1001623042
531	0.1000720544
532	0.1000402658
533	0.09999176037
534	0.09995118465
535	0.09992059489
536	0.09989788578
537	0.09985448212
538	0.09980288016
539	0.09975953769
540	0.09974208898
541	0.09966483403
542	0.0996426575
543	0.09958828989
544	0.09950865872
545	0.09945586282
546	0.09942207239
547	0.09936178585
548	0.09933454942
549	0.09931910609
550	0.09926201294
551	0.09922829619
552	0.09917607401
553	0.09914319095
554	0.0991116992
555	0.09907318944
556	0.09902382433
557	0.0989983593
558	0.09897893854
559	0.09892669825
560	0.09886103553
561	0.09883270807
562	0.09879972031
563	0.09876864886
564	0.09870115338
565	0.09862828101
566	0.09858452277
567	0.09852139888
568	0.09849107756
569	0.09847281099
570	0.09843049887
571	0.09838255275
572	0.09836111263
573	0.09833699114
574	0.09828688696
575	0.0982212553
576	0.09814580954
577	0.09811038953
578	0.09806514384
579	0.09801605084
580	0.09798286863
581	0.09792934062
582	0.09789827835
583	0.09782754231
584	0.09777547709
585	0.09771490932
586	0.09764785028
587	0.09764094908
588	0.09759297607
589	0.09753174472
590	0.09746598927
