iter	Passed	Remaining
0	192	192409
1	414	206632
2	671	223104
3	877	218459
4	1117	222389
5	1362	225688
6	1574	223391
7	1761	218445
8	1958	215670
9	2134	211322
10	2339	210373
11	2522	207662
12	2731	207416
13	2905	204620
14	3104	203885
15	3352	206161
16	3549	205242
17	3781	206279
18	3957	204355
19	4156	203676
20	4364	203457
21	4577	203480
22	4764	202405
23	4975	202342
24	5170	201661
25	5380	201569
26	5599	201804
27	5791	201063
28	5995	200757
29	6195	200333
30	6407	200285
31	6626	200447
32	6824	199972
33	7026	199631
34	7200	198528
35	7387	197832
36	7579	197266
37	7790	197234
38	7943	195728
39	8161	195871
40	8352	195378
41	8540	194807
42	8716	193986
43	8933	194102
44	9156	194318
45	9388	194715
46	9617	195015
47	9823	194825
48	10039	194857
49	10264	195019
50	10457	194593
51	10685	194796
52	10884	194488
53	11097	194412
54	11289	193974
55	11486	193626
56	11659	192899
57	11872	192828
58	12069	192491
59	12293	192598
60	12483	192159
61	12697	192098
62	12905	191949
63	13125	191966
64	13309	191458
65	13525	191411
66	13740	191346
67	13922	190815
68	14138	190769
69	14397	191274
70	14595	190978
71	14830	191145
72	14995	190427
73	15185	190021
74	15419	190167
75	15657	190359
76	15913	190756
77	16133	190707
78	16377	190937
79	16565	190508
80	16781	190393
81	17008	190417
82	17244	190520
83	17457	190374
84	17681	190340
85	17924	190502
86	18145	190424
87	18350	190181
88	18563	190015
89	18770	189786
90	18986	189658
91	19196	189461
92	19425	189446
93	19622	189124
94	19808	188697
95	20018	188506
96	20235	188381
97	20488	188575
98	20712	188502
99	20946	188516
100	21097	187788
101	21305	187569
102	21516	187377
103	21748	187372
104	21994	187478
105	22201	187245
106	22396	186912
107	22600	186661
108	22799	186369
109	23014	186206
110	23235	186092
111	23435	185813
112	23653	185669
113	23888	185659
114	24127	185673
115	24320	185336
116	24526	185101
117	24740	184923
118	24953	184736
119	25147	184415
120	25371	184311
121	25561	183955
122	25774	183776
123	25956	183369
124	26141	182993
125	26372	182934
126	26606	182894
127	26825	182745
128	27049	182638
129	27244	182329
130	27421	181905
131	27644	181783
132	27843	181503
133	28085	181507
134	28275	181170
135	28487	180978
136	28678	180654
137	28885	180431
138	29117	180358
139	29309	180046
140	29525	179874
141	29707	179501
142	29925	179344
143	30172	179356
144	30378	179128
145	30594	178954
146	30804	178750
147	31014	178541
148	31229	178365
149	31539	178722
150	31727	178390
151	31943	178209
152	32157	178022
153	32346	177695
154	32560	177504
155	32760	177244
156	32966	177013
157	33160	176718
158	33355	176425
159	33545	176113
160	33731	175782
161	33921	175468
162	34147	175346
163	34352	175111
164	34572	174957
165	34799	174836
166	34994	174555
167	35211	174379
168	35389	174013
169	35621	173914
170	35846	173781
171	36060	173591
172	36266	173367
173	36488	173217
174	36720	173109
175	36943	172963
176	37133	172658
177	37317	172333
178	37486	171936
179	37701	171749
180	37868	171349
181	38081	171157
182	38297	170979
183	38548	170956
184	38747	170698
185	38963	170517
186	39159	170247
187	39367	170036
188	39652	170148
189	39835	169824
190	40043	169609
191	40274	169489
192	40503	169358
193	40745	169283
194	40955	169072
195	41151	168806
196	41371	168636
197	41606	168527
198	41808	168285
199	42020	168081
200	42236	167894
201	42465	167759
202	42712	167694
203	42923	167486
204	43138	167291
205	43386	167228
206	43602	167039
207	43794	166757
208	44032	166650
209	44208	166308
210	44426	166127
211	44605	165796
212	44801	165534
213	44981	165210
214	45201	165038
215	45393	164760
216	45608	164568
217	45831	164405
218	46037	164177
219	46242	163950
220	46460	163767
221	46673	163566
222	46868	163302
223	47096	163154
224	47291	162894
225	47499	162674
226	47704	162447
227	48017	162585
228	48201	162284
229	48437	162158
230	48622	161866
231	48812	161587
232	49017	161357
233	49223	161134
234	49444	160956
235	49661	160767
236	49861	160524
237	50093	160384
238	50300	160161
239	50507	159941
240	50731	159772
241	50919	159491
242	51146	159332
243	51341	159073
244	51535	158813
245	51745	158602
246	51958	158398
247	52178	158218
248	52390	158011
249	52596	157788
250	52805	157575
251	53004	157330
252	53213	157115
253	53436	156942
254	53631	156688
255	53836	156461
256	54042	156238
257	54289	156134
258	54495	155912
259	54735	155786
260	54930	155532
261	55137	155311
262	55321	155026
263	55523	154792
264	55733	154581
265	55943	154369
266	56139	154119
267	56354	153924
268	56582	153760
269	56791	153547
270	57000	153334
271	57195	153082
272	57418	152906
273	57631	152703
274	57849	152513
275	58081	152358
276	58289	152141
277	58517	151976
278	58705	151709
279	58885	151420
280	59097	151213
281	59354	151122
282	59517	150792
283	59700	150513
284	59908	150296
285	60117	150084
286	60331	149883
287	60533	149653
288	60786	149546
289	61001	149348
290	61203	149117
291	61453	149004
292	61658	148781
293	61868	148567
294	62103	148416
295	62332	148250
296	62569	148102
297	62839	148031
298	63114	147971
299	63341	147797
300	63575	147638
301	63791	147437
302	64010	147244
303	64210	147008
304	64417	146786
305	64620	146558
306	64832	146347
307	65042	146135
308	65252	145921
309	65487	145761
310	65676	145502
311	65878	145271
312	66065	145005
313	66287	144818
314	66494	144598
315	66712	144402
316	66960	144270
317	67164	144045
318	67374	143830
319	67588	143626
320	67837	143494
321	68063	143313
322	68280	143115
323	68476	142871
324	68676	142636
325	68896	142441
326	69122	142261
327	69345	142072
328	69556	141861
329	69765	141644
330	69987	141455
331	70180	141206
332	70371	140955
333	70572	140722
334	70800	140543
335	71000	140309
336	71214	140105
337	71407	139857
338	71615	139639
339	71807	139391
340	72036	139214
341	72239	138986
342	72428	138733
343	72617	138480
344	72808	138231
345	73048	138073
346	73245	137835
347	73441	137596
348	73645	137372
349	73851	137152
350	74039	136899
351	74248	136685
352	74472	136497
353	74670	136263
354	74897	136082
355	75102	135859
356	75303	135630
357	75503	135400
358	75688	135142
359	75908	134947
360	76146	134785
361	76418	134681
362	76613	134443
363	76840	134258
364	77058	134060
365	77256	133826
366	77486	133649
367	77672	133394
368	77870	133160
369	78066	132924
370	78280	132718
371	78469	132470
372	78662	132228
373	78835	131954
374	79037	131729
375	79234	131495
376	79427	131255
377	79626	131026
378	79878	130882
379	80086	130667
380	80312	130480
381	80540	130298
382	80731	130056
383	80920	129809
384	81110	129566
385	81349	129400
386	81585	129230
387	81767	128973
388	82010	128813
389	82212	128589
390	82407	128353
391	82624	128151
392	82858	127977
393	83053	127741
394	83299	127586
395	83503	127363
396	83712	127150
397	83930	126950
398	84140	126737
399	84368	126552
400	84601	126374
401	84812	126163
402	84988	125901
403	85214	125712
404	85423	125498
405	85645	125303
406	85835	125062
407	86069	124885
408	86250	124631
409	86447	124400
410	86635	124156
411	86822	123911
412	87020	123682
413	87248	123497
414	87424	123237
415	87621	123007
